id,name,description,price
1,Pure Mango Splash,Freshly squeezed Rajshahi mango juice,180
2,Watermelon Cooler,Chilled organic watermelon juice with a dash of mint,150
3,Orange Citrus Detox,Fresh Malta and orange blend rich in Vitamin C,200
4,Green Apple Delight,Crisp green apple juice with celery and ginger,220
5,Avocado Banana Energy,Creamy avocado and ripe banana smoothie with honey,280
6,Berry Blast Smoothie,"Strawberries, blueberries, and raspberries blended with Greek yogurt",300
7,Tropical Mango Smoothie,"Mango pulp, coconut milk, and chia seeds",250
8,Green Detox Smoothie,"Spinach, kiwi, green apple, and almond milk",260
9,Classic Chocolate Shake,Rich Belgian chocolate ice cream shake with chocolate chips,220
10,Vanilla Bean Milkshake,Made with real Madagascar vanilla bean gelato and whole milk,200
11,Strawberry Cream Shake,Fresh strawberries blended with vanilla ice cream and cream,240
12,Oreo Crunch Shake,Crushed Oreo cookies blended with creamy milk and vanilla scoop,250
13,Virgin Mojito,"Fresh lime juice, mint leaves, soda water, and crushed ice",160
14,Blue Lagoon Mocktail,"Blue curacao syrup, lemon juice, and fizzy Sprite over ice",180
15,Sunrise Citrus Fizz,"Orange juice, grenadine syrup, and sparkling soda",190
16,Pina Colada Mocktail,Pineapple juice and rich coconut cream blended with crushed ice,220
17,Grilled Chicken Sandwich,Multi-grain bread stuffed with grilled chicken breast and fresh lettuce,250
18,Club Sandwich Deluxe,"Triple-layer sandwich with egg, cheese, chicken, and tomatoes",300
19,Exotic Fruit Bowl,Seasonal mixed fruit bowl topped with honey and chia seeds,200
20,Caesar Salad with Chicken,"Crisp romaine lettuce, croutons, parmesan, and grilled chicken strips",320
